keyword_term,term_type,primary_group,category,source,frequency,patstat_tier,validation_notes,usage_recommendation
anonymisation,primary,anonymisation,data obfuscation,Emerging Privacy Enhancing Technologies.pdf; PETs and AI.pdf,14,TIER_1_STRONG,Strong privacy signal,Use for privacy anonymization analysis
anonymization,alternative,anonymisation,data obfuscation,Emerging Privacy Enhancing Technologies.pdf; PETs and AI.pdf,14,TIER_1_STRONG,Strong privacy signal,Use for privacy anonymization analysis
anonymous data,alternative,anonymisation,data obfuscation,Emerging Privacy Enhancing Technologies.pdf; PETs and AI.pdf,14,TIER_1_STRONG,Strong privacy signal,Use for privacy anonymization analysis
differential privacy,primary,differential privacy,data obfuscation,Emerging Privacy Enhancing Technologies.pdf; PETs and AI.pdf,126,TIER_1_STRONG,Very specific privacy technique,High-confidence use - strongest signal
ε-differential,alternative,differential privacy,data obfuscation,Emerging Privacy Enhancing Technologies.pdf; PETs and AI.pdf,126,TIER_1_STRONG,Very specific privacy technique,High-confidence use - strongest signal
noise addition,alternative,differential privacy,data obfuscation,Emerging Privacy Enhancing Technologies.pdf; PETs and AI.pdf,126,TIER_3_WEAK,Matches acoustic/mechanical noise - requires DP context,Use only with IPC/CPC validation or differential privacy context
noise injection,alternative,differential privacy,data obfuscation,Emerging Privacy Enhancing Technologies.pdf; PETs and AI.pdf,126,TIER_3_WEAK,Matches fuel injection and acoustic noise,Use only with IPC/CPC validation or differential privacy context
privacy budget,alternative,differential privacy,data obfuscation,Emerging Privacy Enhancing Technologies.pdf; PETs and AI.pdf,126,TIER_1_STRONG,Very specific privacy technique,High-confidence use - strongest signal
epsilon differential privacy,alternative,differential privacy,data obfuscation,Emerging Privacy Enhancing Technologies.pdf; PETs and AI.pdf,126,TIER_1_STRONG,Very specific privacy technique,High-confidence use - strongest signal
encrypted data processing,primary,encrypted data processing,pet_category,Emerging Privacy Enhancing Technologies.pdf; PETs and AI.pdf,1,TIER_1_STRONG,Strong privacy signal,Use for encrypted computation analysis
aggregation with encryption,alternative,encrypted data processing,pet_category,Emerging Privacy Enhancing Technologies.pdf; PETs and AI.pdf,1,TIER_1_STRONG,Strong privacy signal,Use for encrypted computation analysis
federated learning,primary,federated learning,distributed data processing,Emerging Privacy Enhancing Technologies.pdf; PETs and AI.pdf,58,TIER_1_STRONG,Strong privacy signal (when privacy-focused),Use for federated learning analysis - check for privacy vs efficiency motivation
federated machine learning,alternative,federated learning,distributed data processing,Emerging Privacy Enhancing Technologies.pdf; PETs and AI.pdf,58,TIER_1_STRONG,Strong privacy signal (when privacy-focused),Use for federated learning analysis
federated training,alternative,federated learning,distributed data processing,Emerging Privacy Enhancing Technologies.pdf; PETs and AI.pdf,58,TIER_1_STRONG,Strong privacy signal (when privacy-focused),Use for federated learning analysis - check for privacy vs efficiency motivation
federated analytics,alternative,federated learning,distributed data processing,Emerging Privacy Enhancing Technologies.pdf; PETs and AI.pdf,58,TIER_1_STRONG,Strong privacy signal (when privacy-focused),Use for federated learning analysis - check for privacy vs efficiency motivation
federated data processing,alternative,federated learning,distributed data processing,Emerging Privacy Enhancing Technologies.pdf; PETs and AI.pdf,58,TIER_1_STRONG,Strong privacy signal (when privacy-focused),Use for federated learning analysis - check for privacy vs efficiency motivation
federated transfer learning,alternative,federated learning,distributed data processing,Emerging Privacy Enhancing Technologies.pdf; PETs and AI.pdf,58,TIER_1_STRONG,Strong privacy signal (when privacy-focused),Use for federated learning analysis - check for privacy vs efficiency motivation
homomorphic encryption,primary,homomorphic encryption,encrypted data processing,Emerging Privacy Enhancing Technologies.pdf; PETs and AI.pdf,30,TIER_1_STRONG,Very specific cryptographic technique,High-confidence use - strongest signal
k-anonymity,primary,anonymisation,data obfuscation,Emerging Privacy Enhancing Technologies.pdf; PETs and AI.pdf,14,TIER_1_STRONG,Very specific privacy technique,High-confidence use
